Data provider	Dataset	Collector name	Field number	GUID	Date collected	Institution code	Collection code	Catalogue No	Basis of record	Image url	Last indexed	Identifier	Identification date	Scientific name	Author	Scientific name (interpreted)	Kingdom	Phylum	Class	Order	Family	Genus	Country	Country (interpreted)	Locality	County	Continent or Ocean	State/Province	Region	Provider country	Latitude	Longitude	Coordinate precision	Cell id	Centi cell id	Min depth	Max depth	Max depth	Min altitude	Max altitude	Altitude precision	GBIF portal url	GBIF webservice url	
European Environment Agency	EUNIS					EEA	EUNIS2	F8tx7RETzaW2phnXO7sbjw==	Unknown		2007-10-10 02:05:20.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				46.0	13.0	70000	49153	0							http://data.gbif.org/occurrences/22543423	http://data.gbif.org/ws/rest/occurrence/get?key=22543423
European Environment Agency	EUNIS					EEA	EUNIS2	3Sfx9d3mAJ6u7TomqQ4gzw==	Unknown		2007-10-10 02:05:16.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				46.0	15.0	70000	49155	0							http://data.gbif.org/occurrences/22542713	http://data.gbif.org/ws/rest/occurrence/get?key=22542713
European Environment Agency	EUNIS					EEA	EUNIS2	URN:catalog:EUNIS2:SPECSITES:1073	Unknown		2008-06-14 11:10:00.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				46.0	17.0	70000	49157	0							http://data.gbif.org/occurrences/144172065	http://data.gbif.org/ws/rest/occurrence/get?key=144172065
European Environment Agency	EUNIS					EEA	EUNIS2	KCrAXUNoXt+LY9W89zvg+g==	Unknown		2007-10-10 02:05:23.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		France			Europe		Western Europe		47.0	2.0	70000	49502	0							http://data.gbif.org/occurrences/22544031	http://data.gbif.org/ws/rest/occurrence/get?key=22544031
European Environment Agency	EUNIS					EEA	EUNIS2	SLLtDuDTk02ujZb5TwLYSg==	Unknown		2007-10-10 02:05:28.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				47.0	11.0	70000	49511	0							http://data.gbif.org/occurrences/22544549	http://data.gbif.org/ws/rest/occurrence/get?key=22544549
European Environment Agency	EUNIS					EEA	EUNIS2	yDeGfFicRQvTnTUkh/kYmA==	Unknown		2007-10-10 02:05:55.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				47.0	12.0	70000	49512	0							http://data.gbif.org/occurrences/22545108	http://data.gbif.org/ws/rest/occurrence/get?key=22545108
European Environment Agency	EUNIS					EEA	EUNIS2	YZrzhGcWXqYLVK6twsNZWA==	Unknown		2007-10-10 02:05:56.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				47.0	17.0	70000	49517	0							http://data.gbif.org/occurrences/22545132	http://data.gbif.org/ws/rest/occurrence/get?key=22545132
European Environment Agency	EUNIS					EEA	EUNIS2	jpmZToVnHnlH1LNVg0a5dg==	Unknown		2007-10-10 02:05:23.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				47.0	19.0	70000	49519	0							http://data.gbif.org/occurrences/22543981	http://data.gbif.org/ws/rest/occurrence/get?key=22543981
European Environment Agency	EUNIS					EEA	EUNIS2	WzDkAXRZ0CqjIrO/CDZoCg==	Unknown		2007-10-10 02:05:55.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				47.0	21.0	70000	49521	0							http://data.gbif.org/occurrences/22545046	http://data.gbif.org/ws/rest/occurrence/get?key=22545046
European Environment Agency	EUNIS					EEA	EUNIS2	CHtFh+BNDokp4xvIEwebNw==	Unknown		2007-10-10 02:05:19.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		France			Europe		Western Europe		48.0	2.0	70000	49862	0							http://data.gbif.org/occurrences/22543197	http://data.gbif.org/ws/rest/occurrence/get?key=22543197
