Locality	CollectionCode	DecimalLongitude	ScientificName	MinimumElevationInMeters	GUID	Kingdom	InstitutionCode	BasisOfRecord	Class	Country	StateProvince	CatalogNumber	Genus	SpecificEpithet	Order	DecimalLatitude	Family	InfraspecificEpithet	NomenclaturalCode	Phylum	Continent	
Aladaglari, northern part (?Black Aladaglari?), 2310m	B	35.15200	Euphorbia herniariifolia var. glaberrima Hal.	2310	8ff4086e-9a92-4b5c-96d9-843944e45bde-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1334	Euphorbia	herniariifolia	Euphorbiales	37.90000	Euphorbiaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2400m	B	35.15200	Astragalus angustifolius subsp. angustifolius	2400	dd4f6903-a73d-44e4-9d85-cfa79729057f-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1335	Astragalus	angustifolius	Fabales	37.90000	Fabaceae	angustifolius	ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2310m	B	35.15200	Papaver polychaetum Schott & Kotschy	2310	c0f65a96-1440-4044-9acd-3f3a645f9574-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1336	Papaver	polychaetum	Papaverales	37.90000	Papaveraceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2310m	B	35.15200	Dianthus floribundus Boiss.	2310	8368ae4b-e19c-483b-b8b7-66ff406cbb1b-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1337	Dianthus	floribundus	Caryophyllales	37.90000	Caryophyllaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2310m	B	35.15200	Astragalus spec.	2310	fce84a48-e7e7-48ca-82bc-05f232b851e2-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1338	Astragalus	spec.	Fabales	37.90000	Fabaceae	2	ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2310m	B	35.15200	Cotoneaster nummularia J.C.Fisch. & C.A.Mey.	2310	82a35127-ba7d-4d1e-ab5e-3bfa5c640ee4-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1339	Cotoneaster	nummularia	Rosales	37.90000	Rosaceae		ICBN	Magnoliophyta	Asia	
Beydaglari, Kizlar sivrisi, western scree slope far beneath the summit, 2250m	B	30.10000	Ranunculus brevifolius Ten.	2250	5897cd3b-6dd0-4408-818e-c54f903839fd-FOO	Plantae	BGBM	PreservedSpecimen		TR	Antalya	133x20	Ranunculus	brevifolius	Ranunculales	36.60000	Ranunculaceae		ICBN	Magnoliophyta	Asia	
Lycian Akdaglari above Gömbe, above Subasi Yayla, 2500m	B	29.63000	Corydalis cf. erdelii Zucc.	2500	9ad1aaaf-4c08-447b-be72-663f0ed1d2cc-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	134	Corydalis	cf. erdelii	Papaverales	36.56300	Papaveraceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2310m	B	35.15200	Asphodeline taurica (Pall.) Kunth	2310	ae1bd6e6-a026-41e6-9105-85c27aba785f-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1340	Asphodeline	taurica	Liliales	37.90000	Liliaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2300m	B	35.15200	Centaurea reuterana var. phrygia Bornm.	2300	5d71510f-bcb9-4c99-b3f9-b96036b0e449-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1341	Centaurea	reuterana	Asterales	37.90000	Asteraceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2300m	B	35.15200	Phlomis capitata Boiss.	2300	97780c05-2120-4983-917f-b95289105740-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1342	Phlomis	capitata	Lamiales	37.90000	Lamiaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik DeresiKaraçik Derese, 2400m	B	35.12990	Salvia absconditiflora Greuter & Burdet	2400	6688d09b-9193-4cd0-afaa-14dcc1b4bbcb-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1343	Salvia	absconditiflora	Lamiales	37.82980	Lamiaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik DeresiKaraçik Derese, 2400m	B	35.12990	Aethionema iberideum (Boiss.) Boiss.	2400	e0dee509-60ad-42e0-babe-5e63e06b9878-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1353	Aethionema	iberideum	Capparales	37.82980	Brassicaceae		ICBN	Magnoliophyta	Asia	
Lycian Akdaglari above Gömbe, above Subasi Yayla, 2400m	B	29.63000	Galium incanum subsp. elatius (Boiss.) Ehrend.	2400	7e304102-4c31-4ce1-9cd4-9a4e8a34aad4-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	136	Galium	incanum	Rubiales	36.56300	Rubiaceae	elatius	ICBN	Magnoliophyta	Asia	
Lycian Akdaglari above Gömbe, above Subasi Yayla, 2400m	B	29.63000	Allium spec.	2400	9a1d780e-1ddd-442e-9d19-aec8d7065d46-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	137	Allium	spec.	Liliales	36.56300	Liliaceae		ICBN	Magnoliophyta	Asia	
Lycian Akdaglari above Gömbe, above Subasi Yayla, 2400m	B	29.63000	Festuca pinifolia var. pinifolia	2400	daf825d4-a165-4b6f-aa5f-3cd2e901afcd-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	139	Festuca	pinifolia	Cyperales	36.56300	Poaceae		ICBN	Magnoliophyta	Asia	
Sandras Dagi above Agla, Çiçekbaba Tepesi, 1150m	B	28.80000	Teucrium sandrasicum O.Schwarz	1150	e9f24d3c-7b13-4b31-b7d6-0cad855e339d-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	14	Teucrium	sandrasicum	Lamiales	37.07000	Lamiaceae		ICBN	Magnoliophyta	Asia	
