Latitude	Longitude	GUID	lastModified	Family	InstitutionCode	InfraspecificEpithet	Remarks	Collector	Kingdom	Locality	Genus	InfraspecificRank	BasisOfRecord	Phylum	MinimumElevationInMeters	SpecificEpithet	Class	ScientificName	Country	EarliestDateCollected	NomenclaturalCode	CatalogNumber	AuthorYearOfScientificName	StateProvince	Order	Continent	CollectionCode
37.07000	28.80000	5ebd3e4f-7c91-4efc-bde5-d0662aa57acd	Thu Sep 18 14:04:49 CEST 2008	Scrophulariaceae	BGBM	cuneifolia		Markus Döring	Plantae	Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	Veronica	Subspecies	PreservedSpecimen	Magnoliophyta	2180	cuneifolia		Veronica cuneifolia subsp. cuneifolia	TR	1999-06-21 00:00:00.0	ICBN	107		Mugla	Scrophulariales	Asia	B
37.40400	34.55800	a544e31f-643b-43e1-87bb-08c00554540b	Thu Sep 18 14:04:49 CEST 2008	Fabaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Astragalus		PreservedSpecimen	Magnoliophyta	2650	amoenus		Astragalus amoenus Fenzl	TR	1999-08-01 00:00:00.0	ICBN	1070	Fenzl	Nigde	Fabales	Asia	B
37.40400	34.55800	e30b6808-b41b-4cd6-ab3f-185be8ed29b1	Thu Sep 18 14:04:50 CEST 2008	Scrophulariaceae	BGBM	pseudocinerea		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Veronica	Subspecies	PreservedSpecimen	Magnoliophyta	2650	thymoides		Veronica thymoides subsp. pseudocinerea M.A.Fischer	TR	1999-08-01 00:00:00.0	ICBN	1071	M.A.Fischer	Nigde	Scrophulariales	Asia	B
37.40400	34.55800	25846f5b-e40b-4f1c-af86-ae1a5f2ee3ca	Thu Sep 18 14:04:50 CEST 2008	Plantaginaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Plantago		PreservedSpecimen	Magnoliophyta	2650	holosteum		Plantago holosteum Scop.	TR	1999-08-01 00:00:00.0	ICBN	1072	Scop.	Nigde	Plantaginales	Asia	B
37.40400	34.55800	9995c4cb-0d37-4bdc-a962-992e77986ec0	Thu Sep 18 14:04:50 CEST 2008	Plantaginaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Plantago		PreservedSpecimen	Magnoliophyta	2650	lanceolata		Plantago lanceolata L.	TR	1999-08-01 00:00:00.0	ICBN	1073	L.	Nigde	Plantaginales	Asia	B
37.40400	34.55800	34639be3-cb15-4c31-b8a5-f666320dee41	Thu Sep 18 14:04:50 CEST 2008	Asteraceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Logfia		PreservedSpecimen	Magnoliophyta	2650	arvensis		Logfia arvensis (L.) Holub	TR	1999-08-01 00:00:00.0	ICBN	1074	(L.) Holub	Nigde	Asterales	Asia	B
37.40400	34.55800	dce3da06-9cda-4f13-988a-fd6861c30f00	Thu Sep 18 14:04:50 CEST 2008	Rubiaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Asperula		PreservedSpecimen	Magnoliophyta	2650	setosa		Asperula setosa Jaub. & Spach	TR	1999-08-01 00:00:00.0	ICBN	1075	Jaub. & Spach	Nigde	Rubiales	Asia	B
37.40400	34.55800	118c4a61-c968-435b-a03d-3e02adb7f15e	Thu Sep 18 14:04:50 CEST 2008	Caryophyllaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Scleranthus		PreservedSpecimen	Magnoliophyta	2650	uncinatus		Scleranthus uncinatus Schur	TR	1999-08-01 00:00:00.0	ICBN	1076	Schur	Nigde	Caryophyllales	Asia	B
37.40400	34.55800	b2b1530a-e73f-4b57-824d-d852bf62cf8a	Thu Sep 18 14:04:50 CEST 2008	Asteraceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Scorzonera	Variety	PreservedSpecimen	Magnoliophyta	2650	cana		Scorzonera cana var. radicosa (Boiss.) D.F.Chamb.	TR	1999-08-01 00:00:00.0	ICBN	1077	(Boiss.) D.F.Chamb.	Nigde	Asterales	Asia	B
37.40400	34.55800	b17c0569-4998-485a-894c-0d3ede696d12	Thu Sep 18 14:04:50 CEST 2008	Poaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Poa		PreservedSpecimen	Magnoliophyta	2650	bulbosa agg.		Poa bulbosa agg. L.	TR	1999-08-01 00:00:00.0	ICBN	1078	L.	Nigde	Cyperales	Asia	B
37.40400	34.55800	5f505934-ef52-4d86-a4e3-6f23951a7d9b	Thu Sep 18 14:04:50 CEST 2008	Rubiaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Galium		PreservedSpecimen	Magnoliophyta	2650	cilicicum		Galium cilicicum Boiss.	TR	1999-08-01 00:00:00.0	ICBN	1079	Boiss.	Nigde	Rubiales	Asia	B
37.07000	28.80000	c14b27bb-bc90-443f-bc95-fe6c55d0910e	Thu Sep 18 14:04:50 CEST 2008	Liliaceae	BGBM			Markus Döring	Plantae	Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	Gagea		PreservedSpecimen	Magnoliophyta	2180	uliginosa		Gagea uliginosa Siehe & Pascher	TR	1999-06-21 00:00:00.0	ICBN	108	Siehe & Pascher	Mugla	Liliales	Asia	B
37.40400	34.55800	5b8e39b1-354b-4b22-8715-ff55b6b9f791	Thu Sep 18 14:04:50 CEST 2008	Fabaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Astragalus		PreservedSpecimen	Magnoliophyta	2650	depressus		Astragalus depressus L.	TR	1999-08-01 00:00:00.0	ICBN	1080	L.	Nigde	Fabales	Asia	B
37.40400	34.55800	3249e4e4-d484-4fbf-bb40-89442ec0326c	Thu Sep 18 14:04:50 CEST 2008	Brassicaceae	BGBM	strigosum		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Alyssum	Subspecies	PreservedSpecimen	Magnoliophyta	2650	strigosum		Alyssum strigosum subsp. strigosum	TR	1999-08-01 00:00:00.0	ICBN	1081		Nigde	Capparales	Asia	B
37.40400	34.55800	653425c4-c4c5-485b-91ca-8a4d61ab3aa0	Thu Sep 18 14:04:50 CEST 2008	Asteraceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Taraxacum		PreservedSpecimen	Magnoliophyta	2650	assemanii		Taraxacum assemanii Blanche	TR	1999-08-01 00:00:00.0	ICBN	1082	Blanche	Nigde	Asterales	Asia	B
37.40400	34.55800	3459fdf2-8b6d-4ffb-a550-4f18f4cd1a4c	Thu Sep 18 14:04:50 CEST 2008	Boraginaceae	BGBM	alpestris		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Myosotis	Subspecies	PreservedSpecimen	Magnoliophyta	2650	alpestris		Myosotis alpestris subsp. alpestris	TR	1999-08-01 00:00:00.0	ICBN	1083		Nigde	Lamiales	Asia	B
37.40400	34.55800	dab4437c-232a-4de8-9b3d-479effac79e7	Thu Sep 18 14:04:50 CEST 2008	Rubiaceae	BGBM	centrale		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Galium	Subspecies	PreservedSpecimen	Magnoliophyta	2650	incanum		Galium incanum subsp. centrale Ehrend.	TR	1999-08-01 00:00:00.0	ICBN	1084	Ehrend.	Nigde	Rubiales	Asia	B
