"ID","COLUMN_LENGTH","LINK","NAME","NAMESPACE","REQUIRED","EXTENSION_FK","PROPERTY_ORDER","VOCABULARY_FK","GROUPP"
"442","255",,"area","http://rs.gbif.org/thesaurus/","FALSE","15","3",,
"443","1",,"preferredFlag","http://rs.gbif.org/ecat/terms/","FALSE","15","4",,
"444","255",,"abstract","http://purl.org/dc/terms/","FALSE","16","0",,
"445","255",,"contributor","http://purl.org/dc/terms/","FALSE","16","1",,
"446","255",,"coverage","http://purl.org/dc/terms/","FALSE","16","2",,
"447","255",,"creator","http://purl.org/dc/terms/","FALSE","16","3",,
"448","255",,"created","http://purl.org/dc/terms/","FALSE","16","4",,
"449","255",,"description","http://purl.org/dc/terms/","FALSE","16","5",,
"450","255",,"format","http://purl.org/dc/terms/","FALSE","16","6",,
"451","255",,"identifier","http://purl.org/dc/terms/","FALSE","16","7",,
"452","255",,"issued","http://purl.org/dc/terms/","FALSE","16","8",,
"453","255",,"isVersionOf","http://purl.org/dc/terms/","FALSE","16","9",,
"454","255",,"language","http://purl.org/dc/terms/","FALSE","16","10",,
"455","255",,"medium","http://purl.org/dc/terms/","FALSE","16","11",,
"456","255",,"modified","http://purl.org/dc/terms/","FALSE","16","12",,
"457","255",,"publisher","http://purl.org/dc/terms/","FALSE","16","13",,
"458","255",,"relation","http://purl.org/dc/terms/","FALSE","16","14",,
"459","255",,"rights","http://purl.org/dc/terms/","FALSE","16","15",,
"460","255",,"source","http://purl.org/dc/terms/","FALSE","16","16",,
"461","255",,"spatial","http://purl.org/dc/terms/","FALSE","16","17",,
"462","255",,"subject","http://purl.org/dc/terms/","FALSE","16","18",,
"463","255",,"temporal","http://purl.org/dc/terms/","FALSE","16","19",,
"464","255",,"title","http://purl.org/dc/terms/","FALSE","16","20",,
"465","255",,"type","http://purl.org/dc/terms/","FALSE","16","21",,
"466","255",,"EventAttributeID","http://rs.tdwg.org/dwc/terms/","FALSE","17","0",,
"467","255",,"EventAttributeType","http://rs.tdwg.org/dwc/terms/","FALSE","17","1",,
"468","255",,"EventAttributeValue","http://rs.tdwg.org/dwc/terms/","FALSE","17","2",,
"469","255",,"EventAttributeAccuracy","http://rs.tdwg.org/dwc/terms/","FALSE","17","3",,
"470","255",,"EventAttributeUnit","http://rs.tdwg.org/dwc/terms/","FALSE","17","4",,
"471","255",,"EventAttributeDeterminedDate","http://rs.tdwg.org/dwc/terms/","FALSE","17","5",,
"472","255",,"EventAttributeDeterminedBy","http://rs.tdwg.org/dwc/terms/","FALSE","17","6",,
"473","255",,"EventAttributeRemarks","http://rs.tdwg.org/dwc/terms/","FALSE","17","7",,
"474","255",,"NomenclaturalCode","http://rs.tdwg.org/dwc/terms/","FALSE","18","0",,
"475","255",,"ScientificName","http://rs.tdwg.org/dwc/terms/","TRUE","18","1",,
"476","255",,"TaxonAccordingTo","http://rs.tdwg.org/dwc/terms/","FALSE","18","2",,
"477","255",,"IdentifiedBy","http://rs.tdwg.org/dwc/terms/","FALSE","18","3",,
"478","255",,"DateIdentified","http://rs.tdwg.org/dwc/terms/","FALSE","18","4",,
"479","255",,"IdentificationReferences","http://rs.tdwg.org/dwc/terms/","FALSE","18","5",,
"480","255",,"IdentificationRemarks","http://rs.tdwg.org/dwc/terms/","FALSE","18","6",,
"481","255",,"IdentificationQualifier","http://rs.tdwg.org/dwc/terms/","FALSE","18","7",,
"482","255",,"TypeStatus","http://rs.tdwg.org/dwc/terms/","FALSE","18","8",,
"483","255",,"format","http://purl.org/dc/terms/","FALSE","19","0",,
"484","255",,"identifier","http://purl.org/dc/terms/","FALSE","19","1",,
"485","255",,"identifier","http://purl.org/dc/terms/","FALSE","20","0",,
"486","255",,"title","http://purl.org/dc/terms/","FALSE","20","1",,
"487","255",,"format","http://purl.org/dc/terms/","FALSE","20","2",,
"488","255",,"license","http://purl.org/dc/terms/","FALSE","20","3",,
"489","255",,"modified","http://purl.org/dc/terms/","FALSE","20","4",,
"490","255",,"ResourceRelationshipID","http://purl.org/dc/terms/","FALSE","21","0",,
"491","255",,"RelatedResourceID","http://purl.org/dc/terms/","FALSE","21","1",,
"492","255",,"RelatedResourceType","http://purl.org/dc/terms/","FALSE","21","2",,
"493","255",,"RelatedBasisOfRecord","http://purl.org/dc/terms/","FALSE","21","3",,
"494","255",,"RelationshipOfResource","http://purl.org/dc/terms/","FALSE","21","4",,
"495","255",,"RelationshipRemarks","http://purl.org/dc/terms/","FALSE","21","5",,
"496","255",,"SampleAttributeID","http://rs.tdwg.org/dwc/terms/","FALSE","22","0",,
"497","255",,"SampleAttributeType","http://rs.tdwg.org/dwc/terms/","FALSE","22","1",,
"498","255",,"SampleAttributeValue","http://rs.tdwg.org/dwc/terms/","FALSE","22","2",,
"499","255",,"SampleAttributeAccuracy","http://rs.tdwg.org/dwc/terms/","FALSE","22","3",,
"500","255",,"SampleAttributeUnit","http://rs.tdwg.org/dwc/terms/","FALSE","22","4",,
"501","255",,"SampleAttributeDeterminedDate","http://rs.tdwg.org/dwc/terms/","FALSE","22","5",,
"502","255",,"SampleAttributeDeterminedBy","http://rs.tdwg.org/dwc/terms/","FALSE","22","6",,
"503","255",,"SampleAttributeRemarks","http://rs.tdwg.org/dwc/terms/","FALSE","22","7",,
"132","64",,"EventID","http://rs.tdwg.org/dwc/terms/","FALSE","1","29",,"Event"
"133","255",,"SamplingProtocol","http://rs.tdwg.org/dwc/terms/","FALSE","1","30",,"Event"
"134","128",,"VerbatimCollectingDate","http://rs.tdwg.org/dwc/terms/","FALSE","1","31",,"Event"
"135","64",,"EarliestDateCollected","http://rs.tdwg.org/dwc/terms/","FALSE","1","32",,"Event"
"136","64",,"LatestDateCollected","http://rs.tdwg.org/dwc/terms/","FALSE","1","33",,"Event"
"137","16",,"StartDayOfYear","http://rs.tdwg.org/dwc/terms/","FALSE","1","34",,"Event"
"139","32",,"StartTimeOfDay","http://rs.tdwg.org/dwc/terms/","FALSE","1","36",,"Event"
"140","32",,"EndTimeOfDay","http://rs.tdwg.org/dwc/terms/","FALSE","1","37",,"Event"
"141","16",,"YearSampled","http://rs.tdwg.org/dwc/terms/","FALSE","1","38",,"Event"
"142","16",,"MonthOfYear","http://rs.tdwg.org/dwc/terms/","FALSE","1","39",,"Event"
"143","16",,"DayOfMonth","http://rs.tdwg.org/dwc/terms/","FALSE","1","40",,"Event"
"144","255",,"Habitat","http://rs.tdwg.org/dwc/terms/","FALSE","1","41",,"Event"
"145","255",,"Behavior","http://rs.tdwg.org/dwc/terms/","FALSE","1","42",,"Event"
"146","128",,"Collector","http://rs.tdwg.org/dwc/terms/","FALSE","1","43",,"Event"
"147","64",,"CollectorNumber","http://rs.tdwg.org/dwc/terms/","FALSE","1","44",,"Event"
"161","255",,"StateProvince","http://rs.tdwg.org/dwc/terms/","FALSE","1","58",,"SamplingLocation"
"162","255",,"County","http://rs.tdwg.org/dwc/terms/","FALSE","1","59",,"SamplingLocation"
"163","-1",,"Locality","http://rs.tdwg.org/dwc/terms/","FALSE","1","60",,"SamplingLocation"
"164","-1",,"VerbatimLocality","http://rs.tdwg.org/dwc/terms/","FALSE","1","61",,"SamplingLocation"
"165","128",,"VerbatimElevation","http://rs.tdwg.org/dwc/terms/","FALSE","1","62",,"SamplingLocation"
