Data provider	Dataset	Collector name	Field number	GUID	Date collected	Institution code	Collection code	Catalogue No	Basis of record	Image url	Last indexed	Identifier	Identification date	Scientific name	Author	Scientific name (interpreted)	Kingdom	Phylum	Class	Order	Family	Genus	Country	Country (interpreted)	Locality	County	Continent or Ocean	State/Province	Region	Provider country	Latitude	Longitude	Coordinate precision	Cell id	Centi cell id	Min depth	Max depth	Max depth	Min altitude	Max altitude	Altitude precision	GBIF portal url	GBIF webservice url
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3546-2	Specimen		28.3.07 12:26			Diatrype chlorosarca Berk. & Broome		Diatrype chlorosarca							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492348	http://data.gbif.org/ws/rest/occurrence/get?key=56492348
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3546-3	Specimen		28.3.07 12:26			Gyrothrix circinata (Berk. & M.A. Curtis) S. Hughes		Gyrothrix circinata							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492350	http://data.gbif.org/ws/rest/occurrence/get?key=56492350
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			9.7.94 0:00	HKU	HKU(M)	3547-1	Specimen		28.3.07 12:26			Botryosphaeria archontophoenicis Joa.E. Taylor, K.D. Hyde & E.B.G. Jones		Botryosphaeria archontophoenicis							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492351	http://data.gbif.org/ws/rest/occurrence/get?key=56492351
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3547-2	Specimen		28.3.07 12:26			Diatrype chlorosarca Berk. & Broome		Diatrype chlorosarca							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492354	http://data.gbif.org/ws/rest/occurrence/get?key=56492354
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3547-3	Specimen		28.3.07 12:26			Gyrothrix circinata (Berk. & M.A. Curtis) S. Hughes		Gyrothrix circinata							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492356	http://data.gbif.org/ws/rest/occurrence/get?key=56492356
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3548	Specimen		28.3.07 12:26			Gyrothrix circinata (Berk. & M.A. Curtis) S. Hughes		Gyrothrix circinata							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492358	http://data.gbif.org/ws/rest/occurrence/get?key=56492358
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			21.9.94 0:00	HKU	HKU(M)	3550	Specimen		28.3.07 12:26			Lasiodiplodia theobromae (Pat.) Griff. & Maubl.		Lasiodiplodia theobromae							Malaysia	MY	MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens	University of Malaya			South-Eastern Asia	Hong Kong	3.1	101.7		33761	17							http://data.gbif.org/occurrences/56492360	http://data.gbif.org/ws/rest/occurrence/get?key=56492360
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			21.9.94 0:00	HKU	HKU(M)	3551-1	Specimen		28.3.07 12:26			Dictyochaeta assamica (Agnihothr.) Aramb., Cabello & Mengasc.		Dictyochaeta assamica							Malaysia	MY	MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens	University of Malaya			South-Eastern Asia	Hong Kong	3.1	101.7		33761	17							http://data.gbif.org/occurrences/56492362	http://data.gbif.org/ws/rest/occurrence/get?key=56492362
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			21.9.94 0:00	HKU	HKU(M)	3553-1	Specimen		28.3.07 12:26			Dictyochaeta assamica (Agnihothr.) Aramb., Cabello & Mengasc.		Dictyochaeta assamica							Malaysia	MY	MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens	University of Malaya			South-Eastern Asia	Hong Kong	3.1	101.7		33761	17							http://data.gbif.org/occurrences/56492364	http://data.gbif.org/ws/rest/occurrence/get?key=56492364
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			21.9.94 0:00	HKU	HKU(M)	3553-2	Specimen		28.3.07 12:26			Lasiodiplodia theobromae (Pat.) Griff. & Maubl.		Lasiodiplodia theobromae							Malaysia	MY	MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens	University of Malaya			South-Eastern Asia	Hong Kong	3.1	101.7		33761	17							http://data.gbif.org/occurrences/56492366	http://data.gbif.org/ws/rest/occurrence/get?key=56492366
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			21.9.94 0:00	HKU	HKU(M)	3554-1	Specimen		28.3.07 12:26			Lasiodiplodia theobromae (Pat.) Griff. & Maubl.		Lasiodiplodia theobromae							Malaysia	MY	MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens	University of Malaya			South-Eastern Asia	Hong Kong	3.1	101.7		33761	17							http://data.gbif.org/occurrences/56492367	http://data.gbif.org/ws/rest/occurrence/get?key=56492367
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			19.9.94 0:00	HKU	HKU(M)	3555-1	Specimen		28.3.07 12:26			Guignardia cocogena (Cooke) Punith.		Guignardia cocogena							Malaysia	MY	MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens	University of Malaya			South-Eastern Asia	Hong Kong	3.1	101.7		33761	17							http://data.gbif.org/occurrences/56492370	http://data.gbif.org/ws/rest/occurrence/get?key=56492370
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			21.9.94 0:00	HKU	HKU(M)	3555-2	Specimen		28.3.07 12:26			Lasiodiplodia theobromae (Pat.) Griff. & Maubl.		Lasiodiplodia theobromae							Malaysia	MY	MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens	University of Malaya			South-Eastern Asia	Hong Kong	3.1	101.7		33761	17							http://data.gbif.org/occurrences/56492372	http://data.gbif.org/ws/rest/occurrence/get?key=56492372
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			19.9.94 0:00	HKU	HKU(M)	3556-1	Specimen		28.3.07 12:26			Guignardia manokwaria K.D. Hyde		Guignardia manokwaria							Malaysia	MY	MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens	University of Malaya			South-Eastern Asia	Hong Kong	3.1	101.7		33761	17							http://data.gbif.org/occurrences/56492373	http://data.gbif.org/ws/rest/occurrence/get?key=56492373
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			21.9.94 0:00	HKU	HKU(M)	3556-2	Specimen		28.3.07 12:26			Lasiodiplodia theobromae (Pat.) Griff. & Maubl.		Lasiodiplodia theobromae							Malaysia	MY	MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens	University of Malaya			South-Eastern Asia	Hong Kong	3.1	101.7		33761	17							http://data.gbif.org/occurrences/56492375	http://data.gbif.org/ws/rest/occurrence/get?key=56492375
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor; Ian C. Taylor			24.9.94 0:00	HKU	HKU(M)	3557-1	Specimen		28.3.07 12:26			Endocalyx melanoxanthus (Berk. & Broome) Petch		Endocalyx melanoxanthus							Singapore	SG	SINGAPORE, Woodlands District				South-Eastern Asia	Hong Kong	1.3	103.8		33043	38							http://data.gbif.org/occurrences/56492377	http://data.gbif.org/ws/rest/occurrence/get?key=56492377
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			26.9.94 0:00	HKU	HKU(M)	3557-2	Specimen		28.3.07 12:26			Fasciatispora petrakii (Mhaskar & V.G. Rao) K.D. Hyde		Fasciatispora petrakii							Singapore	SG	SINGAPORE, Woodlands District				South-Eastern Asia	Hong Kong	1.3	103.8		33043	38							http://data.gbif.org/occurrences/56492379	http://data.gbif.org/ws/rest/occurrence/get?key=56492379
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			26.9.94 0:00	HKU	HKU(M)	3557-3	Specimen		28.3.07 12:26			Hermatomyces sphaericum (Sacc.) S. Hughes		Hermatomyces sphaericum							Singapore	SG	SINGAPORE, Woodlands District				South-Eastern Asia	Hong Kong	1.3	103.8		33043	38							http://data.gbif.org/occurrences/56492381	http://data.gbif.org/ws/rest/occurrence/get?key=56492381
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			26.9.94 0:00	HKU	HKU(M)	3558	Specimen		28.3.07 12:26			Lasiodiplodia theobromae (Pat.) Griff. & Maubl.		Lasiodiplodia theobromae							Singapore	SG	SINGAPORE, Woodlands District				South-Eastern Asia	Hong Kong	1.3	103.8		33043	38							http://data.gbif.org/occurrences/56492383	http://data.gbif.org/ws/rest/occurrence/get?key=56492383
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			26.9.94 0:00	HKU	HKU(M)	3559-1	Specimen		28.3.07 12:26			Circinotrichum papakurae S. Hughes & Piroz.		Circinotrichum papakurae							Singapore	SG	SINGAPORE, Woodlands District				South-Eastern Asia	Hong Kong	1.3	103.8		33043	38							http://data.gbif.org/occurrences/56492385	http://data.gbif.org/ws/rest/occurrence/get?key=56492385
