#id	#modified	Family	InstitutionCode	InfraspecificEpithet	Collector	Locality	Genus	InfraspecificRank	BasisOfRecord	MinimumElevationInMeters	SpecificEpithet	ScientificName	Country	EarliestDateCollected	NomenclaturalCode	CatalogNumber	AuthorYearOfScientificName	StateProvince	CollectionCode
8662f320-836a-46e5-b725-58d0212bb91a	2008-08-04 10:52:48.0	Asteraceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 2600m	Helichrysum		PreservedSpecimen	2600	pallasii	Helichrysum pallasii Ledeb.	Turkey	1999-07-31 00:00:00.0	ICBN	1067	Ledeb.	Nigde	PonTaurus collection
8e262598-9857-407f-ab1c-1ae9e3273e0d	2008-08-04 10:52:48.0	Caryophyllaceae		oreina	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Minuartia	Subspecies	PreservedSpecimen	2650	recurva	Minuartia recurva subsp. oreina (Mattf.) McNeill	Turkey	1999-08-01 00:00:00.0	ICBN	1068	(Mattf.) McNeill	Nigde	PonTaurus collection
59e38ade-b307-4ef7-bf93-72df88c72873	2008-08-04 10:52:48.0	Asteraceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Tripleurospermum		PreservedSpecimen	2650	kotschyi	Tripleurospermum kotschyi (Boiss.) E.Hossain	Turkey	1999-08-01 00:00:00.0	ICBN	1069	(Boiss.) E.Hossain	Nigde	PonTaurus collection
0825ba8f-9650-4f42-8c65-9a84007fc155	2008-08-04 10:52:48.0	Scrophulariaceae		cuneifolia	Markus Döring	Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	Veronica	Subspecies	PreservedSpecimen	2180	cuneifolia	Veronica cuneifolia subsp. cuneifolia	Turkey	1999-06-21 00:00:00.0	ICBN	107	\n	Mugla	PonTaurus collection
da465f14-270c-4117-ad6f-c19a5fce9bfc	2008-08-04 10:52:48.0	Fabaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Astragalus		PreservedSpecimen	2650	amoenus	Astragalus amoenus Fenzl	Turkey	1999-08-01 00:00:00.0	ICBN	1070	Fenzl	Nigde	PonTaurus collection
12fbcae1-69cd-4f5c-b008-0a1c0ecc901c	2008-08-04 10:52:48.0	Scrophulariaceae		pseudocinerea	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Veronica	Subspecies	PreservedSpecimen	2650	thymoides	Veronica thymoides subsp. pseudocinerea M.A.Fischer	Turkey	1999-08-01 00:00:00.0	ICBN	1071	M.A.Fischer	Nigde	PonTaurus collection
3b1def38-6898-4a64-af02-0523b0853a01	2008-08-04 10:52:48.0	Plantaginaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Plantago		PreservedSpecimen	2650	holosteum	Plantago holosteum Scop.	Turkey	1999-08-01 00:00:00.0	ICBN	1072	Scop.	Nigde	PonTaurus collection
3b81ebfc-f412-44a2-af2c-6d9c2ece8aa1	2008-08-04 10:52:48.0	Plantaginaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Plantago		PreservedSpecimen	2650	lanceolata	Plantago lanceolata L.	Turkey	1999-08-01 00:00:00.0	ICBN	1073	L.	Nigde	PonTaurus collection
bfcf7cfe-9fac-4070-acbb-2e0ab1ef2ad1	2008-08-04 10:52:48.0	Asteraceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Logfia		PreservedSpecimen	2650	arvensis	Logfia arvensis (L.) Holub	Turkey	1999-08-01 00:00:00.0	ICBN	1074	(L.) Holub	Nigde	PonTaurus collection
cf7abc38-678b-429f-a118-bdcddcc5d990	2008-08-04 10:52:48.0	Rubiaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Asperula		PreservedSpecimen	2650	setosa	Asperula setosa Jaub. & Spach	Turkey	1999-08-01 00:00:00.0	ICBN	1075	Jaub. & Spach	Nigde	PonTaurus collection
