"COREID","DECIMAL_LATITUDE","GEODETIC_DATUM","COORDINATE_UNCERTAINTY_IN_METERS","DECIMAL_LONGITUDE"
"2045","36.55700","WGS84","1000","29.61400"
"2046","36.55700","WGS84","1000","29.61400"
"2047","36.55700","WGS84","1000","29.61400"
"2048","36.55700","WGS84","1000","29.61400"
"2049","36.55700","WGS84","1000","29.61400"
"2050","36.55700","WGS84","1000","29.61400"
"2051","36.56300","WGS84","1000","29.63000"
"2052","36.60000","WGS84","1000","30.10000"
"2053","36.55700","WGS84","1000","29.61400"
"2054","36.55700","WGS84","1000","29.61400"
"2055","36.55700","WGS84","1000","29.61400"
"2056","36.55700","WGS84","1000","29.61400"
"2057","36.55700","WGS84","1000","29.61400"
"2058","36.55700","WGS84","1000","29.61400"
"2059","36.55700","WGS84","1000","29.61400"
"2060","37.07000","WGS84","1000","28.80000"
"2061","36.55700","WGS84","1000","29.61400"
"2062","36.55700","WGS84","1000","29.61400"
"2063","36.55700","WGS84","1000","29.61400"
"2064","36.55700","WGS84","1000","29.61400"
"2065","36.55700","WGS84","1000","29.61400"
"2066","36.55700","WGS84","1000","29.61400"
"2067","37.82980","WGS84","1000","35.12990"
"2068","36.55700","WGS84","1000","29.61400"
"2069","36.55700","WGS84","1000","29.61400"
"2070","36.55700","WGS84","1000","29.61400"
"2071","36.55700","WGS84","1000","29.61400"
"2072","37.07000","WGS84","1000","28.80000"
"2073","36.55700","WGS84","1000","29.61400"
"2074","36.55700","WGS84","1000","29.61400"
"2075","36.55700","WGS84","1000","29.61400"
"2076","36.55700","WGS84","1000","29.61400"
"2077","36.55700","WGS84","1000","29.61400"
"2078","36.55700","WGS84","1000","29.61400"
"2079","36.55700","WGS84","1000","29.61400"
"2080","36.55700","WGS84","1000","29.61400"
"2081","36.55700","WGS84","1000","29.61400"
"2082","36.55700","WGS84","1000","29.61400"
"2083","36.55700","WGS84","1000","29.61400"
"2084","36.55700","WGS84","1000","29.61400"
"2085","36.55700","WGS84","1000","29.61400"
"2086","36.55700","WGS84","1000","29.61400"
"2087","36.55700","WGS84","1000","29.61400"
"2088","36.55700","WGS84","1000","29.61400"
"2089","36.56300","WGS84","1000","29.63000"
"2090","36.55700","WGS84","1000","29.61400"
"2091","36.55700","WGS84","1000","29.61400"
"2092","36.55700","WGS84","1000","29.61400"
"2093","36.55700","WGS84","1000","29.61400"
"2094","36.55700","WGS84","1000","29.61400"
"2095","36.55700","WGS84","1000","29.61400"
"2096","36.56300","WGS84","1000","29.63000"
"2097","36.55700","WGS84","1000","29.61400"
"2098","37.07000","WGS84","1000","28.80000"
"2099","36.55700","WGS84","1000","29.61400"
"2100","37.68000","WGS84","1000","31.31000"
"2101","37.76660","WGS84","1000","35.12540"
"2102","37.42000","WGS84","1000","34.56800"
"2103","36.60000","WGS84","1000","30.10000"
"2104","36.82400","WGS84","1000","30.33700"
"2105","36.55700","WGS84","1000","29.61400"
"2106","36.60000","WGS84","1000","30.10000"
"2107","36.55700","WGS84","1000","29.61400"
"2108","36.55700","WGS84","1000","29.61400"
"2109","36.55700","WGS84","1000","29.61400"
"2110","36.55700","WGS84","1000","29.61400"
"2111","36.56300","WGS84","1000","29.63000"
"2112","36.56300","WGS84","1000","29.63000"
"2113","36.56300","WGS84","1000","29.63000"
"2114","36.56300","WGS84","1000","29.63000"
"2115","36.56300","WGS84","1000","29.63000"
"2116","36.56300","WGS84","1000","29.63000"
"2117","36.56300","WGS84","1000","29.63000"
"2118","36.56300","WGS84","1000","29.63000"
"2119","36.56300","WGS84","1000","29.63000"
"2120","36.56300","WGS84","1000","29.63000"
"2121","36.60000","WGS84","1000","30.10000"
"2122","36.56300","WGS84","1000","29.63000"
"2123","36.56300","WGS84","1000","29.63000"
"2124","36.56300","WGS84","1000","29.63000"
"2125","37.07000","WGS84","1000","28.80000"
"2126","36.56300","WGS84","1000","29.63000"
"2127","36.56300","WGS84","1000","29.63000"
"2128","36.56300","WGS84","1000","29.63000"
"2129","36.56300","WGS84","1000","29.63000"
