"ID","URI","ISSUED","IDENTIFIER","VOCABULARY_FK","CONCEPT_ORDER","LINK"
"95080","http://iso.org/iso3166#TK","2008-12-17 20:39:51.0","TK","13","216",
"95081","http://iso.org/iso3166#TL","2008-12-17 20:39:51.0","TL","13","217",
"95082","http://iso.org/iso3166#TM","2008-12-17 20:39:51.0","TM","13","218",
"95083","http://iso.org/iso3166#TN","2008-12-17 20:39:51.0","TN","13","219",
"95084","http://iso.org/iso3166#TO","2008-12-17 20:39:51.0","TO","13","220",
"95085","http://iso.org/iso3166#TR","2008-12-17 20:39:51.0","TR","13","221",
"95086","http://iso.org/iso3166#TT","2008-12-17 20:39:51.0","TT","13","222",
"95087","http://iso.org/iso3166#TV","2008-12-17 20:39:51.0","TV","13","223",
"95088","http://iso.org/iso3166#TW","2008-12-17 20:39:51.0","TW","13","224",
"95089","http://iso.org/iso3166#TZ","2008-12-17 20:39:51.0","TZ","13","225",
"95090","http://iso.org/iso3166#UA","2008-12-17 20:39:51.0","UA","13","226",
"95091","http://iso.org/iso3166#UG","2008-12-17 20:39:51.0","UG","13","227",
"95092","http://iso.org/iso3166#UM","2008-12-17 20:39:51.0","UM","13","228",
"95093","http://iso.org/iso3166#US","2008-12-17 20:39:51.0","US","13","229",
"95094","http://iso.org/iso3166#UY","2008-12-17 20:39:51.0","UY","13","230",
"95095","http://iso.org/iso3166#UZ","2008-12-17 20:39:51.0","UZ","13","231",
"95096","http://iso.org/iso3166#VA","2008-12-17 20:39:51.0","VA","13","232",
"95097","http://iso.org/iso3166#VC","2008-12-17 20:39:51.0","VC","13","233",
"95098","http://iso.org/iso3166#VE","2008-12-17 20:39:51.0","VE","13","234",
"95099","http://iso.org/iso3166#VG","2008-12-17 20:39:51.0","VG","13","235",
"95100","http://iso.org/iso3166#VI","2008-12-17 20:39:51.0","VI","13","236",
"95150","http://rs.tdwg.org/ontology/voc/TaxonRank#Infratribe","2008-10-12 23:44:55.0","infratribe","16","26",
"95151","http://rs.tdwg.org/ontology/voc/TaxonRank#Family-group","2008-10-12 23:44:55.0","family-group","16","27",
"95152","http://rs.tdwg.org/ontology/voc/TaxonRank#Genus-group","2008-10-12 23:44:55.0","genus-group","16","28",
"95153","http://rs.tdwg.org/ontology/voc/TaxonRank#Supergenus","2008-10-12 23:44:55.0","supergenus","16","29",
"95154","http://rs.tdwg.org/ontology/voc/TaxonRank#Mirorder","2008-10-12 23:44:54.0","mirorder","16","30",
"95155","http://rs.tdwg.org/ontology/voc/TaxonRank#Subtribe","2008-10-12 23:44:55.0","subtribe","16","31",
"95156","http://rs.tdwg.org/ontology/voc/TaxonRank#Subfamily","2008-10-12 23:44:55.0","subfamily","16","32",
"95157","http://rs.tdwg.org/ontology/voc/TaxonRank#Supertribe","2008-10-12 23:44:55.0","supertribe","16","33",
"95158","http://rs.tdwg.org/ontology/voc/TaxonRank#Infrafamily","2008-10-12 23:44:55.0","infrafamily","16","34",
"95159","http://rs.tdwg.org/ontology/voc/TaxonRank#Epifamily","2008-10-12 23:44:55.0","epifamily","16","35",
"95160","http://rs.tdwg.org/ontology/voc/TaxonRank#Subfamily-group","2008-10-12 23:44:55.0","subfamily-group","16","36",
"95161","http://rs.tdwg.org/ontology/voc/TaxonRank#Domain","2008-10-12 23:44:52.0","domain","16","37",
"95162","http://rs.tdwg.org/ontology/voc/TaxonRank#Subseries","2008-10-12 23:44:54.0","subseries","16","38",
"95163","http://rs.tdwg.org/ontology/voc/TaxonRank#Series","2008-10-12 23:44:56.0","series","16","39",
"95164","http://rs.tdwg.org/ontology/voc/TaxonRank#Superorder","2008-10-12 23:44:54.0","superorder","16","40",
"95165","http://rs.tdwg.org/ontology/voc/TaxonRank#Subdivision","2008-10-12 23:44:56.0","subdivision","16","41",
"95166","http://rs.tdwg.org/ontology/voc/TaxonRank#Superdivision","2008-10-12 23:44:56.0","superdivision","16","42",
"95167","http://rs.tdwg.org/ontology/voc/TaxonRank#Morph","2008-10-12 23:44:56.0","morph","16","43",
"95168","http://rs.tdwg.org/ontology/voc/TaxonRank#Race","2008-10-12 23:44:56.0","race","16","44",
"95169","http://rs.tdwg.org/ontology/voc/TaxonRank#Near","2008-10-12 23:44:56.0","near","16","45",
"95170","http://rs.tdwg.org/ontology/voc/TaxonRank#Superform","2008-10-12 23:44:56.0","superform","16","46",
"95171","http://rs.tdwg.org/ontology/voc/TaxonRank#Grandorder","2008-10-12 23:44:54.0","grandorder","16","47",
"95172","http://rs.tdwg.org/ontology/voc/TaxonRank#Infraform","2008-10-12 23:44:56.0","infraform","16","48",
"95173","http://rs.tdwg.org/ontology/voc/TaxonRank#Infragenus","2008-10-12 23:44:55.0","infragenus","16","49",
"95174","http://rs.tdwg.org/ontology/voc/TaxonRank#Incertae-sedie","2008-10-12 23:44:56.0","incertae-sedie","16","50",
"95175","http://rs.tdwg.org/ontology/voc/TaxonRank#Bio-Variety","2008-10-12 23:44:57.0","bio-variety","16","51",
"95176","http://rs.tdwg.org/ontology/voc/TaxonRank#Mutant","2008-10-12 23:44:56.0","mutant","16","52",
"95177","http://rs.tdwg.org/ontology/voc/TaxonRank#Serovar","2008-10-12 23:44:57.0","serovar","16","53",
"95178","http://rs.tdwg.org/ontology/voc/TaxonRank#Infraseries","2008-10-12 23:44:55.0","infraseries","16","54",
"95179","http://rs.tdwg.org/ontology/voc/TaxonRank#Superseries","2008-10-12 23:44:55.0","superseries","16","55",
"95180","http://rs.tdwg.org/ontology/voc/TaxonRank#Sub-sub-variety","2008-10-12 23:44:57.0","sub-sub-variety","16","56",
"95181","http://rs.tdwg.org/ontology/voc/TaxonRank#Morphovar","2008-10-12 23:44:57.0","morphovar","16","57",
"95182","http://rs.tdwg.org/ontology/voc/TaxonRank#Patho-variety","2008-10-12 23:44:57.0","patho-variety","16","58",
"95183","http://rs.tdwg.org/ontology/voc/TaxonRank#Infraspecific-Taxon","2008-10-12 23:44:57.0","infraspecific-taxon","16","59",
"95184","http://rs.tdwg.org/ontology/voc/TaxonRank#Species-Aggregate","2008-10-12 23:44:57.0","species-aggregate","16","60",
"95185","http://rs.tdwg.org/ontology/voc/TaxonRank#InfragenericTaxon","2008-10-12 23:44:57.0","infragenerictaxon","16","61",
"95186","http://rs.tdwg.org/ontology/voc/TaxonRank#DenominationClass","2008-10-12 23:44:57.0","denominationclass","16","62",
"95187","http://rs.tdwg.org/ontology/voc/TaxonRank#Grex","2008-10-12 23:44:57.0","grex","16","63",
"95188","http://rs.tdwg.org/ontology/voc/TaxonRank#Graft-chimaera","2008-10-12 23:44:57.0","graft-chimaera","16","64",
"95189","http://rs.tdwg.org/ontology/voc/TaxonRank#Special-Form","2008-10-12 23:44:57.0","special-form","16","65",
"95190","http://rs.tdwg.org/ontology/voc/TaxonRank#Infraspecies","2008-10-12 23:44:57.0","infraspecies","16","66",
"95191","http://rs.tdwg.org/ontology/voc/TaxonRank#Supersection","2008-10-12 23:44:55.0","supersection","16","67",
"95192","http://rs.tdwg.org/ontology/voc/TaxonRank#Legion","2008-10-12 23:44:53.0","legion","16","68",
