CatalogNumber	Latitude	Longitude
468	36.82400	30.33700
469	36.82400	30.33700
469x44	36.82400	30.33700
469x45	36.82400	30.33700
470	36.82400	30.33700
471	36.82400	30.33700
472	36.82400	30.33700
473	36.82400	30.33700
474	36.82400	30.33700
475a	36.82400	30.33700
475b	36.82400	30.33700
475c	36.82400	30.33700
476	36.82400	30.33700
477	36.82400	30.33700
478	36.82400	30.33700
479	36.82400	30.33700
48	37.07000	28.80000
480	36.82400	30.33700
481	36.82400	30.33700
482	36.82400	30.33700
483	36.82400	30.33700
484	36.82400	30.33700
485	36.82400	30.33700
486	36.82400	30.33700
487	36.82400	30.33700
488	36.82400	30.33700
489	36.82400	30.33700
490	36.82400	30.33700
491	36.82400	30.33700
492	36.82400	30.33700
493	36.82400	30.33700
494	36.82400	30.33700
495	36.82400	30.33700
497	36.82400	30.33700
498	36.82400	30.33700
499	36.82400	30.33700
500	36.82400	30.33700
501	36.82400	30.33700
503	36.82400	30.33700
504	36.82400	30.33700
505	36.82400	30.33700
506	36.82400	30.33700
507	36.82400	30.33700
508a	36.82400	30.33700
508b	36.82400	30.33700
509	36.82400	30.33700
51	37.07000	28.80000
510	36.82400	30.33700
511	36.82400	30.33700
512	36.82400	30.33700
513	36.82400	30.33700
514	36.82400	30.33700
515	36.82400	30.33700
516	37.68000	31.31000
517	37.68000	31.31000
518	37.68000	31.31000
519	37.68000	31.31000
52	37.07000	28.80000
520	37.68000	31.31000
521	37.68000	31.31000
522	37.68000	31.31000
523	37.68000	31.31000
524	37.68000	31.31000
525	37.68000	31.31000
526	37.68000	31.31000
527	37.68000	31.31000
528	37.68000	31.31000
529	37.68000	31.31000
530	37.68000	31.31000
531	37.68000	31.31000
532	37.68000	31.31000
532x56	37.68000	31.31000
533	37.68000	31.31000
534	37.68000	31.31000
535	37.68000	31.31000
536	37.68000	31.31000
536x57	37.68000	31.31000
537	37.68000	31.31000
538	37.68000	31.31000
539	37.68000	31.31000
539x56	37.68000	31.31000
540	37.68000	31.31000
541	37.68000	31.31000
542	37.68000	31.31000
543	37.68000	31.31000
544	37.68000	31.31000
545	37.68000	31.31000
546	37.68000	31.31000
547	37.68000	31.31000
547x56	37.68000	31.31000
548	37.68000	31.31000
549	37.68000	31.31000
550	37.68000	31.31000
551	37.68000	31.31000
552	37.68000	31.31000
553a	37.68000	31.31000
553b	37.68000	31.31000
554	37.68000	31.31000
555	37.68000	31.31000
556	37.68000	31.31000
557	37.68000	31.31000
558	37.68000	31.31000
559	37.68000	31.31000
560	37.68000	31.31000
561	37.68000	31.31000
562	37.68000	31.31000
562x	37.68000	31.31000
563	37.68000	31.31000
564	37.68000	31.31000
565	37.68000	31.31000
566	37.68000	31.31000
567	37.68000	31.31000
568	37.68000	31.31000
569	37.68000	31.31000
570	37.68000	31.31000
571	37.68000	31.31000
572	37.68000	31.31000
