"ID","FAMILY","INSTITUTION_CODE","INFRASPECIFIC_EPITHET","REMARKS","COLLECTOR","KINGDOM","LOCALITY","GENUS","INFRASPECIFIC_RANK","BASIS_OF_RECORD","PHYLUM","SPECIFIC_EPITHET","MINIMUM_ELEVATION_IN_METERS","CLASS","SCIENTIFIC_NAME","NOMENCLATURAL_CODE","EARLIEST_DATE_COLLECTED","COUNTRY","CATALOG_NUMBER","STATE_PROVINCE","AUTHOR_YEAR_OF_SCIENTIFIC_NAME","ORDER","CONTINENT","COLLECTION_CODE"
"4025","Liliaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Muscari",,"PreservedSpecimen","Magnoliophyta","cf. armeniacum","2500",,"Muscari cf. armeniacum Leichtlin ex Baker","ICBN","1999-07-15 00:00:00.0","TR","534","Ïsparta/Konya","Leichtlin ex Baker","Liliales","Asia","B"
"4026","Apiaceae","BGBM","microcarpum",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Bunium","Subspecies","PreservedSpecimen","Magnoliophyta","microcarpum","2500",,"Bunium microcarpum subsp. microcarpum","ICBN","1999-07-15 00:00:00.0","TR","535","Ïsparta/Konya",,"Apiales","Asia","B"
"4027","Brassicaceae","BGBM","pateri",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Alyssum","Subspecies","PreservedSpecimen","Magnoliophyta","pateri","2500",,"Alyssum pateri subsp. pateri","ICBN","1999-07-15 00:00:00.0","TR","536","Ïsparta/Konya",,"Capparales","Asia","B"
"4028","Brassicaceae","BGBM","pateri",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2250m","Alyssum","Subspecies","PreservedSpecimen","Magnoliophyta","pateri","2250",,"Alyssum pateri subsp. pateri","ICBN","1999-07-16 00:00:00.0","TR","536x57","Ïsparta/Konya",,"Capparales","Asia","B"
"4029","Lamiaceae","BGBM","pinnatifida",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Scutellaria","Subspecies","PreservedSpecimen","Magnoliophyta","orientalis","2500",,"Scutellaria orientalis subsp. pinnatifida J.R.Edm.","ICBN","1999-07-15 00:00:00.0","TR","537","Ïsparta/Konya","J.R.Edm.","Lamiales","Asia","B"
"4030","Crassulaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Sedum",,"PreservedSpecimen","Magnoliophyta","album","2500",,"Sedum album L.","ICBN","1999-07-15 00:00:00.0","TR","538","Ïsparta/Konya","L.","Rosales","Asia","B"
"4031","Fabaceae","BGBM","cadmea",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2450m","Onobrychis","Subspecies","PreservedSpecimen","Magnoliophyta","montana","2450",,"Onobrychis montana subsp. cadmea (Boiss.) P.W. Ball","ICBN","1999-07-15 00:00:00.0","TR","539","Ïsparta/Konya","(Boiss.) P.W. Ball","Fabales","Asia","B"
"4032","Fabaceae","BGBM","cadmea",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2200m","Onobrychis","Subspecies","PreservedSpecimen","Magnoliophyta","montana","2200",,"Onobrychis montana subsp. cadmea (Boiss.) P.W. Ball","ICBN","1999-07-16 00:00:00.0","TR","539x56","Ïsparta/Konya","(Boiss.) P.W. Ball","Fabales","Asia","B"
"4033","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2450m","Minuartia",,"PreservedSpecimen","Magnoliophyta","leucocephala","2450",,"Minuartia leucocephala (Boiss.) Mattf.","ICBN","1999-07-15 00:00:00.0","TR","540","Ïsparta/Konya","(Boiss.) Mattf.","Caryophyllales","Asia","B"
"4034","Globulariaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2450m","Globularia",,"PreservedSpecimen","Magnoliophyta","trichosantha","2450",,"Globularia trichosantha J.C.Fisch. & C.A.Mey.","ICBN","1999-07-15 00:00:00.0","TR","541","Ïsparta/Konya","J.C.Fisch. & C.A.Mey.","Scrophulariales","Asia","B"
