ipt:coreid	DecimalLatitude	GeodeticDatum	CoordinateUncertaintyInMeters	DecimalLongitude
6965	37.82130	WGS84	1000	35.11050
6966	37.82130	WGS84	1000	35.11050
6967	37.82130	WGS84	1000	35.11050
6968	37.82130	WGS84	1000	35.11050
6969	37.82130	WGS84	1000	35.11050
6970	37.82130	WGS84	1000	35.11050
6971	36.56300	WGS84	1000	29.63000
6972	37.82130	WGS84	1000	35.11050
6973	37.82130	WGS84	1000	35.11050
6974	37.82130	WGS84	1000	35.11050
6975	37.82130	WGS84	1000	35.11050
6976	37.82130	WGS84	1000	35.11050
6977	37.82130	WGS84	1000	35.11050
6978	37.82130	WGS84	1000	35.11050
6979	37.82130	WGS84	1000	35.11050
6980	37.82130	WGS84	1000	35.11050
6981	37.82130	WGS84	1000	35.11050
6982	36.55700	WGS84	1000	29.61400
6983	37.82130	WGS84	1000	35.11050
6984	37.82130	WGS84	1000	35.11050
6985	37.82130	WGS84	1000	35.11050
6986	37.82130	WGS84	1000	35.11050
6987	37.82130	WGS84	1000	35.11050
6988	37.82130	WGS84	1000	35.11050
6989	37.82130	WGS84	1000	35.11050
6990	37.82130	WGS84	1000	35.11050
6991	37.80750	WGS84	1000	35.12310
6992	37.80750	WGS84	1000	35.12310
6993	36.55700	WGS84	1000	29.61400
6994	37.80750	WGS84	1000	35.12310
6995	37.80750	WGS84	1000	35.12310
6996	37.80750	WGS84	1000	35.12310
6997	37.80750	WGS84	1000	35.12310
6998	37.80750	WGS84	1000	35.12310
6999	37.80750	WGS84	1000	35.12310
7000	37.80750	WGS84	1000	35.12310
7001	37.80750	WGS84	1000	35.12310
7002	37.80750	WGS84	1000	35.12310
7003	37.80750	WGS84	1000	35.12310
7004	36.55700	WGS84	1000	29.61400
7005	37.80750	WGS84	1000	35.12310
7006	37.80750	WGS84	1000	35.12310
7007	37.80750	WGS84	1000	35.12310
7008	37.80750	WGS84	1000	35.12310
7009	37.80750	WGS84	1000	35.12310
7010	36.55700	WGS84	1000	29.61400
7011	36.55700	WGS84	1000	29.61400
7012	36.55700	WGS84	1000	29.61400
7013	36.55700	WGS84	1000	29.61400
7014	36.55700	WGS84	1000	29.61400
7015	36.55700	WGS84	1000	29.61400
7016	36.55700	WGS84	1000	29.61400
7017	36.56300	WGS84	1000	29.63000
7018	36.60000	WGS84	1000	30.10000
7019	36.55700	WGS84	1000	29.61400
7020	36.55700	WGS84	1000	29.61400
7021	36.55700	WGS84	1000	29.61400
7022	36.55700	WGS84	1000	29.61400
7023	36.55700	WGS84	1000	29.61400
7024	36.55700	WGS84	1000	29.61400
7025	36.55700	WGS84	1000	29.61400
7026	37.07000	WGS84	1000	28.80000
7027	36.55700	WGS84	1000	29.61400
7028	36.55700	WGS84	1000	29.61400
7029	36.55700	WGS84	1000	29.61400
7030	36.55700	WGS84	1000	29.61400
7031	36.55700	WGS84	1000	29.61400
7032	36.55700	WGS84	1000	29.61400
7033	37.82980	WGS84	1000	35.12990
7034	36.55700	WGS84	1000	29.61400
7035	36.55700	WGS84	1000	29.61400
7036	36.55700	WGS84	1000	29.61400
7037	36.55700	WGS84	1000	29.61400
7038	37.07000	WGS84	1000	28.80000
7039	36.55700	WGS84	1000	29.61400
7040	36.55700	WGS84	1000	29.61400
7041	36.55700	WGS84	1000	29.61400
7042	36.55700	WGS84	1000	29.61400
7043	36.55700	WGS84	1000	29.61400
7044	36.55700	WGS84	1000	29.61400
7045	36.55700	WGS84	1000	29.61400
7046	36.55700	WGS84	1000	29.61400
7047	36.55700	WGS84	1000	29.61400
7048	36.55700	WGS84	1000	29.61400
7049	36.55700	WGS84	1000	29.61400
7050	36.55700	WGS84	1000	29.61400
7051	36.55700	WGS84	1000	29.61400
7052	36.55700	WGS84	1000	29.61400
7053	36.55700	WGS84	1000	29.61400
7054	36.55700	WGS84	1000	29.61400
7055	36.56300	WGS84	1000	29.63000
7056	36.55700	WGS84	1000	29.61400
7057	36.55700	WGS84	1000	29.61400
7058	36.55700	WGS84	1000	29.61400
7059	36.55700	WGS84	1000	29.61400
7060	36.55700	WGS84	1000	29.61400
7061	36.55700	WGS84	1000	29.61400
7062	36.56300	WGS84	1000	29.63000
7063	36.55700	WGS84	1000	29.61400
7064	37.07000	WGS84	1000	28.80000
7065	36.55700	WGS84	1000	29.61400
7066	37.68000	WGS84	1000	31.31000
7067	37.76660	WGS84	1000	35.12540
7068	37.42000	WGS84	1000	34.56800
7069	36.60000	WGS84	1000	30.10000
7070	36.82400	WGS84	1000	30.33700
7071	36.55700	WGS84	1000	29.61400
7072	36.60000	WGS84	1000	30.10000
7073	36.55700	WGS84	1000	29.61400
7074	36.55700	WGS84	1000	29.61400
7075	36.55700	WGS84	1000	29.61400
7076	36.55700	WGS84	1000	29.61400
7077	36.56300	WGS84	1000	29.63000
7078	36.56300	WGS84	1000	29.63000
7079	36.56300	WGS84	1000	29.63000
7080	36.56300	WGS84	1000	29.63000
7081	36.56300	WGS84	1000	29.63000
7082	36.56300	WGS84	1000	29.63000
7083	36.56300	WGS84	1000	29.63000
7084	36.56300	WGS84	1000	29.63000
7085	36.56300	WGS84	1000	29.63000
7086	36.56300	WGS84	1000	29.63000
7087	36.60000	WGS84	1000	30.10000
7088	36.56300	WGS84	1000	29.63000
7089	36.56300	WGS84	1000	29.63000
7090	36.56300	WGS84	1000	29.63000
7091	37.07000	WGS84	1000	28.80000
7092	36.56300	WGS84	1000	29.63000
7093	36.56300	WGS84	1000	29.63000
7094	36.56300	WGS84	1000	29.63000
7095	36.56300	WGS84	1000	29.63000
7096	36.56300	WGS84	1000	29.63000
7097	36.56300	WGS84	1000	29.63000
7098	36.56300	WGS84	1000	29.63000
7099	36.56300	WGS84	1000	29.63000
7100	36.56300	WGS84	1000	29.63000
7101	36.56300	WGS84	1000	29.63000
7102	36.56300	WGS84	1000	29.63000
7103	36.56300	WGS84	1000	29.63000
7104	36.56300	WGS84	1000	29.63000
7105	36.60000	WGS84	1000	30.10000
7106	36.60000	WGS84	1000	30.10000
7107	36.60000	WGS84	1000	30.10000
7108	36.60000	WGS84	1000	30.10000
7109	36.60000	WGS84	1000	30.10000
7110	36.60000	WGS84	1000	30.10000
7111	36.60000	WGS84	1000	30.10000
7112	36.60000	WGS84	1000	30.10000
7113	36.60000	WGS84	1000	30.10000
7114	36.60000	WGS84	1000	30.10000
7115	36.60000	WGS84	1000	30.10000
7116	36.60000	WGS84	1000	30.10000
7117	36.60000	WGS84	1000	30.10000
7118	36.60000	WGS84	1000	30.10000
7119	36.60000	WGS84	1000	30.10000
7120	36.60000	WGS84	1000	30.10000
7121	36.60000	WGS84	1000	30.10000
7122	36.60000	WGS84	1000	30.10000
7123	36.60000	WGS84	1000	30.10000
7124	36.60000	WGS84	1000	30.10000
7125	36.60000	WGS84	1000	30.10000
7126	36.60000	WGS84	1000	30.10000
7127	36.60000	WGS84	1000	30.10000
7128	36.60000	WGS84	1000	30.10000
7129	36.60000	WGS84	1000	30.10000
7130	36.60000	WGS84	1000	30.10000
7131	36.60000	WGS84	1000	30.10000
7132	36.60000	WGS84	1000	30.10000
7133	36.60000	WGS84	1000	30.10000
7134	36.60000	WGS84	1000	30.10000
7135	36.60000	WGS84	1000	30.10000
7136	37.07000	WGS84	1000	28.80000
7137	36.60000	WGS84	1000	30.10000
7138	36.60000	WGS84	1000	30.10000
7139	36.60000	WGS84	1000	30.10000
7140	36.60000	WGS84	1000	30.10000
7141	36.60000	WGS84	1000	30.10000
7142	36.60000	WGS84	1000	30.10000
7143	36.60000	WGS84	1000	30.10000
7144	36.60000	WGS84	1000	30.10000
7145	36.60000	WGS84	1000	30.10000
7146	36.60000	WGS84	1000	30.10000
7147	36.60000	WGS84	1000	30.10000
7148	36.60000	WGS84	1000	30.10000
7149	36.60000	WGS84	1000	30.10000
7150	37.07000	WGS84	1000	28.80000
7151	36.60000	WGS84	1000	30.10000
7152	36.60000	WGS84	1000	30.10000
7153	36.60000	WGS84	1000	30.10000
7154	36.60000	WGS84	1000	30.10000
7155	36.60000	WGS84	1000	30.10000
