Collection code	Catalogue No	Country (interpreted)	Latitude	Longitude	Coordinate precision	Cell id	Centi cell id
HKU(M)	3867-1	CN	26.6	106.7		42046	67
HKU(M)	3867-2	CN	26.6	106.7		42046	67
HKU(M)	3869-1	CN	26.6	106.7		42046	67
HKU(M)	3869-2	CN	26.6	106.7		42046	67
HKU(M)	3872-1	CN	26.6	106.7		42046	67
HKU(M)	3872-2	CN	26.6	106.7		42046	67
HKU(M)	3873-1	CN	26.6	106.7		42046	67
HKU(M)	3874-1	CN	26.6	106.7		42046	67
HKU(M)	3874-2	CN	26.6	106.7		42046	67
HKU(M)	3874-3	CN	26.6	106.7		42046	67
HKU(M)	3875	CN	26.6	106.7		42046	67
HKU(M)	3878	HK	22.3	114.3		40614	33
HKU(M)	3879	HK	22.3	114.3		40614	33
HKU(M)	3880	HK	22.3	114.3		40614	33
HKU(M)	3883-1	HK	22.3	114.3		40614	33
HKU(M)	3885	HK	22.3	114.3		40614	33
HKU(M)	3888-1	HK	22.3	114.3		40614	33
HKU(M)	3889	UK	51.6	-4		50936	60
HKU(M)	3890-1	UK	51.6	-4		50936	60
HKU(M)	3890-2	UK	51.6	-4		50936	60
HKU(M)	3891	AU	-33.9	151.2		20491	12
HKU(M)	3892-1	AU	-33.9	151.2		20491	12
HKU(M)	3892-2	AU	-33.9	151.2		20491	12
HKU(M)	3893	AU	-33.9	151.2		20491	12
HKU(M)	3894-1	AU	-33.9	151.2		20491	12
HKU(M)	3894-2	AU	-33.9	151.2		20491	12
HKU(M)	3895-1	AU	-33.9	151.2		20491	12
HKU(M)	3895-2	AU	-33.9	151.2		20491	12
HKU(M)	3896-1	AU	-33.9	151.2		20491	12
HKU(M)	3896-2	AU	-33.9	151.2		20491	12
HKU(M)	3897-1	AU	-33.9	151.2		20491	12
HKU(M)	3897-2	AU	-33.9	151.2		20491	12
HKU(M)	3897-3	AU	-33.9	151.2		20491	12
HKU(M)	3898-1	AU	-33.9	151.2		20491	12
HKU(M)	3898-2	AU	-33.9	151.2		20491	12
HKU(M)	3898-3	AU	-33.9	151.2		20491	12
HKU(M)	3899	AU	-33.9	151.2		20491	12
HKU(M)	3900	AU	-33.9	151.2		20491	12
HKU(M)	3901	AU	-33.9	151.2		20491	12
HKU(M)	3902	AU	-33.9	151.2		20491	12
HKU(M)	3904	AU	-33.9	151.2		20491	12
HKU(M)	3905	AU	-33.9	151.2		20491	12
HKU(M)	3906	AU	-33.9	151.2		20491	12
HKU(M)	3907-1	AU	-33.9	151.2		20491	12
HKU(M)	3907-2	AU	-33.9	151.2		20491	12
HKU(M)	3907-3	AU	-33.9	151.2		20491	12
HKU(M)	3908	AU	-33.9	151.2		20491	12
HKU(M)	3909	AU	-33.9	151.2		20491	12
HKU(M)	3910	AU	-33.9	151.2		20491	12
HKU(M)	3911-1	AU	-33.9	151.2		20491	12
HKU(M)	3911-2	AU	-33.9	151.2		20491	12
HKU(M)	3912-1	AU	-33.9	151.2		20491	12
HKU(M)	3912-2	AU	-33.9	151.2		20491	12
HKU(M)	3913	AU	-33.9	151.2		20491	12
HKU(M)	3914-1	AU	-33.9	151.2		20491	12
HKU(M)	3915-1	AU	-33.9	151.2		20491	12
HKU(M)	3915-2	AU	-33.9	151.2		20491	12
HKU(M)	3915-3	AU	-33.9	151.2		20491	12
HKU(M)	3915-4	AU	-33.9	151.2		20491	12
HKU(M)	3916-1	AU	-33.9	151.2		20491	12
HKU(M)	3919-1	AU	-33.9	151.2		20491	12
HKU(M)	3919-2	AU	-33.9	151.2		20491	12
HKU(M)	3920-1	AU	-33.9	151.2		20491	12
HKU(M)	3921	AU	-33.9	151.2		20491	12
HKU(M)	3922-1	AU	-33.9	151.2		20491	12
HKU(M)	3922-2	AU	-33.9	151.2		20491	12
HKU(M)	3922-3	AU	-33.9	151.2		20491	12
HKU(M)	3922-4	AU	-33.9	151.2		20491	12
HKU(M)	3923-1	AU	-33.9	151.2		20491	12
HKU(M)	3923-2	AU	-33.9	151.2		20491	12
HKU(M)	3924-1	AU	-33.9	151.2		20491	12
HKU(M)	3924-2	AU	-33.9	151.2		20491	12
HKU(M)	3924-3	AU	-33.9	151.2		20491	12
HKU(M)	3925-1	AU	-33.9	151.2		20491	12
HKU(M)	3926-1	AU	-33.9	151.2		20491	12
HKU(M)	3926-2	AU	-33.9	151.2		20491	12
HKU(M)	3927-1	AU	-33.9	151.2		20491	12
HKU(M)	3927-2	AU	-33.9	151.2		20491	12
HKU(M)	3927-3	AU	-33.9	151.2		20491	12
HKU(M)	3928-1	AU	-33.9	151.2		20491	12
HKU(M)	3928-2	AU	-33.9	151.2		20491	12
HKU(M)	3929-1	AU	-33.9	151.2		20491	12
HKU(M)	3929-2	AU	-33.9	151.2		20491	12
HKU(M)	3930	AU	-33.9	151.2		20491	12
HKU(M)	3932	AU	-33.9	151.2		20491	12
HKU(M)	3933-1	AU	-33.9	151.2		20491	12
HKU(M)	3935	AU	-33.9	151.2		20491	12
HKU(M)	3936	AU	-33.9	151.2		20491	12
HKU(M)	3937-1	AU	-33.9	151.2		20491	12
HKU(M)	3938	AU	-33.9	151.2		20491	12
HKU(M)	3939	AU	-33.9	151.2		20491	12
HKU(M)	3940	AU	-33.9	151.2		20491	12
HKU(M)	3942-1	AU	-33.9	151.2		20491	12
HKU(M)	3942-2	AU	-33.9	151.2		20491	12
HKU(M)	3943-1	AU	-33.9	151.2		20491	12
HKU(M)	3945-1	AU	-33.9	151.2		20491	12
HKU(M)	3945-2	AU	-33.9	151.2		20491	12
HKU(M)	3946	AU	-33.9	151.2		20491	12
HKU(M)	3947	AU	-33.9	151.2		20491	12
HKU(M)	3948-1	AU	-33.9	151.2		20491	12
HKU(M)	3949-1	AU	-33.9	151.2		20491	12
HKU(M)	3951	AU	-33.9	151.2		20491	12
HKU(M)	3952-1	AU	-33.9	151.2		20491	12
HKU(M)	3952-2	AU	-33.9	151.2		20491	12
HKU(M)	3953-1	AU	-33.9	151.2		20491	12
HKU(M)	3954-1	AU	-33.9	151.2		20491	12
HKU(M)	3954-2	AU	-33.9	151.2		20491	12
HKU(M)	3956-1	AU	-33.9	151.2		20491	12
HKU(M)	3956-2	AU	-33.9	151.2		20491	12
HKU(M)	3956-3	AU	-33.9	151.2		20491	12
HKU(M)	3958-1	CN	30.1	109.4		43489	14
HKU(M)	3958-2	CN	30.1	109.4		43489	14
HKU(M)	3959-1	CN	30.1	109.4		43489	14
HKU(M)	3959-2	CN	30.1	109.4		43489	14
HKU(M)	3960-1	CN	30.1	109.4		43489	14
HKU(M)	3960-2	CN	30.1	109.4		43489	14
HKU(M)	3961-1	CN	30.1	109.4		43489	14
HKU(M)	3961-2	CN	30.1	109.4		43489	14
HKU(M)	3962-1	HK	22.3	114.3		40614	33
HKU(M)	3962-2	CN	30.1	109.4		43489	14
HKU(M)	3963-1	CN	30.1	109.4		43489	14
HKU(M)	3963-2	CN	30.1	109.4		43489	14
HKU(M)	3964-1	CN	30.1	109.4		43489	14
HKU(M)	3965	CN	30.1	109.4		43489	14
HKU(M)	3968	CN	30.1	109.4		43489	14
HKU(M)	3969-1	CN	30.1	109.4		43489	14
HKU(M)	3970-1	CN	30.1	109.4		43489	14
HKU(M)	3970-2	CN	30.1	109.4		43489	14
HKU(M)	3970-3	CN	30.1	109.4		43489	14
HKU(M)	3972-1	CN	30.1	109.4		43489	14
HKU(M)	3973	CN	30.1	109.4		43489	14
HKU(M)	3974-1	CN	30.1	109.4		43489	14
HKU(M)	3974-2	CN	30.1	109.4		43489	14
HKU(M)	3975	AU	-33.9	151.2		20491	12
HKU(M)	3976	AU	-33.9	151.2		20491	12
HKU(M)	3977-1	AU	-33.9	151.2		20491	12
HKU(M)	3977-2	AU	-33.9	151.2		20491	12
HKU(M)	3978-1	AU	-33.9	151.2		20491	12
HKU(M)	3978-2	AU	-33.9	151.2		20491	12
HKU(M)	3979	AU	-33.9	151.2		20491	12
HKU(M)	3980-1	UK	51.6	-4		50936	60
HKU(M)	3980-2	AU	-33.9	151.2		20491	12
HKU(M)	3980-3	AU	-33.9	151.2		20491	12
HKU(M)	3981	AU	-33.9	151.2		20491	12
HKU(M)	3982-1	AU	-33.9	151.2		20491	12
HKU(M)	3982-2	AU	-33.9	151.2		20491	12
HKU(M)	3983-1	CN	30.3	109		43489	30
HKU(M)	3983-2	CN	30.3	109		43489	30
HKU(M)	3983-3	CN	30.3	109		43489	30
HKU(M)	3984-1	CN	30.3	109		43489	30
HKU(M)	3984-2	CN	30.3	109		43489	30
HKU(M)	3984-3	CN	30.3	109		43489	30
HKU(M)	3986-1	CN	30.3	109		43489	30
HKU(M)	3986-2	CN	30.3	109		43489	30
HKU(M)	3986-3	CN	30.3	109		43489	30
HKU(M)	3986-4	CN	30.3	109		43489	30
HKU(M)	3987-1	CN	30.3	109		43489	30
HKU(M)	3987-2	CN	30.3	109		43489	30
HKU(M)	3987-3	CN	30.3	109		43489	30
HKU(M)	3987-4	CN	30.3	109		43489	30
HKU(M)	3988-1	CN	30.3	109		43489	30
HKU(M)	3988-2	CN	30.3	109		43489	30
HKU(M)	3988-3	CN	30.3	109		43489	30
HKU(M)	3988-4	CN	30.3	109		43489	30
HKU(M)	3988-5	CN	30.3	109		43489	30
HKU(M)	3989-1	CN	30.3	109		43489	30
HKU(M)	3989-2	CN	30.3	109		43489	30
HKU(M)	3989-3	CN	30.3	109		43489	30
HKU(M)	3989-4	CN	30.3	109		43489	30
HKU(M)	3990-1	CN	30.3	109		43489	30
HKU(M)	3990-2	CN	30.3	109		43489	30
HKU(M)	3990-3	CN	30.3	109		43489	30
HKU(M)	3990-4	CN	30.3	109		43489	30
HKU(M)	3991-1	CN	30.3	109		43489	30
HKU(M)	3991-2	CN	30.3	109		43489	30
HKU(M)	3992-1	CN	30.3	109		43489	30
