ipt:coreid	ipt:guid	ipt:link	ipt:modified	Family	InstitutionCode	InfraspecificEpithet	Remarks	Collector	Kingdom	Locality	Genus	InfraspecificRank	BasisOfRecord	Phylum	MinimumElevationInMeters	SpecificEpithet	Class	ScientificName	Country	EarliestDateCollected	NomenclaturalCode	CatalogNumber	AuthorYearOfScientificName	StateProvince	Order	Continent	CollectionCode
6530	360eee3c-f31f-4771-b0d7-1f7714ef8d34	http://localhost:8080/data/1/360eee3c-f31f-4771-b0d7-1f7714ef8d34/detail.html	Thu Sep 25 01:07:03 CEST 2008	Rubiaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Galium		PreservedSpecimen	Magnoliophyta	2350	spec.		Galium spec.	TR	1999-07-30 00:00:00.0	ICBN	1062		Nigde	Rubiales	Asia	B
6531	18df9365-9fc3-43db-89e1-8ac147e0f50d	http://localhost:8080/data/1/18df9365-9fc3-43db-89e1-8ac147e0f50d/detail.html	Thu Sep 25 01:07:03 CEST 2008	Poaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Koeleria		PreservedSpecimen	Magnoliophyta	2350	macrantha		Koeleria macrantha (Ledeb.) Schult.	TR	1999-07-30 00:00:00.0	ICBN	1063	(Ledeb.) Schult.	Nigde	Cyperales	Asia	B
6532	2a6a090b-0659-4a28-93e4-96d804eadff2	http://localhost:8080/data/1/2a6a090b-0659-4a28-93e4-96d804eadff2/detail.html	Thu Sep 25 01:07:03 CEST 2008	Scrophulariaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, slopes along the road from Meydan to tarn Karagöl, 2720m	Verbascum		PreservedSpecimen	Magnoliophyta	2720	spec.		Verbascum spec.	TR	1999-07-31 00:00:00.0	ICBN	1065		Nigde	Scrophulariales	Asia	B
6533	c313db37-3dd1-417f-85f4-9a449598efa0	http://localhost:8080/data/1/c313db37-3dd1-417f-85f4-9a449598efa0/detail.html	Thu Sep 25 01:07:03 CEST 2008	Lamiaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 2600m	Marrubium		PreservedSpecimen	Magnoliophyta	2600	cephalanthum		Marrubium cephalanthum Boiss. & Noe	TR	1999-07-31 00:00:00.0	ICBN	1066	Boiss. & Noe	Nigde	Lamiales	Asia	B
6534	2fef379a-f061-4a01-9986-b18d8b44fd89	http://localhost:8080/data/1/2fef379a-f061-4a01-9986-b18d8b44fd89/detail.html	Thu Sep 25 01:07:03 CEST 2008	Asteraceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 2600m	Helichrysum		PreservedSpecimen	Magnoliophyta	2600	pallasii		Helichrysum pallasii Ledeb.	TR	1999-07-31 00:00:00.0	ICBN	1067	Ledeb.	Nigde	Asterales	Asia	B
6535	e6238fe9-859a-4aa6-8fe0-203469cc2d8b	http://localhost:8080/data/1/e6238fe9-859a-4aa6-8fe0-203469cc2d8b/detail.html	Thu Sep 25 01:07:03 CEST 2008	Caryophyllaceae	BGBM	oreina		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Minuartia	Subspecies	PreservedSpecimen	Magnoliophyta	2650	recurva		Minuartia recurva subsp. oreina (Mattf.) McNeill	TR	1999-08-01 00:00:00.0	ICBN	1068	(Mattf.) McNeill	Nigde	Caryophyllales	Asia	B
6536	5c7e38b6-58c4-4b38-b9ef-461ae584f5d9	http://localhost:8080/data/1/5c7e38b6-58c4-4b38-b9ef-461ae584f5d9/detail.html	Thu Sep 25 01:07:03 CEST 2008	Asteraceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Tripleurospermum		PreservedSpecimen	Magnoliophyta	2650	kotschyi		Tripleurospermum kotschyi (Boiss.) E.Hossain	TR	1999-08-01 00:00:00.0	ICBN	1069	(Boiss.) E.Hossain	Nigde	Asterales	Asia	B
6537	8d9a2a1e-6b8d-4cc5-92ba-5dc43b66ec5a	http://localhost:8080/data/1/8d9a2a1e-6b8d-4cc5-92ba-5dc43b66ec5a/detail.html	Thu Sep 25 01:07:03 CEST 2008	Scrophulariaceae	BGBM	cuneifolia		Markus Döring	Plantae	Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	Veronica	Subspecies	PreservedSpecimen	Magnoliophyta	2180	cuneifolia		Veronica cuneifolia subsp. cuneifolia	TR	1999-06-21 00:00:00.0	ICBN	107		Mugla	Scrophulariales	Asia	B
6538	ce55ec61-7bb8-424a-91bd-a4f25d7220ee	http://localhost:8080/data/1/ce55ec61-7bb8-424a-91bd-a4f25d7220ee/detail.html	Thu Sep 25 01:07:03 CEST 2008	Fabaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Astragalus		PreservedSpecimen	Magnoliophyta	2650	amoenus		Astragalus amoenus Fenzl	TR	1999-08-01 00:00:00.0	ICBN	1070	Fenzl	Nigde	Fabales	Asia	B
6539	ad6f1369-2a22-4b00-a748-9443aaa7f0a2	http://localhost:8080/data/1/ad6f1369-2a22-4b00-a748-9443aaa7f0a2/detail.html	Thu Sep 25 01:07:03 CEST 2008	Scrophulariaceae	BGBM	pseudocinerea		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Veronica	Subspecies	PreservedSpecimen	Magnoliophyta	2650	thymoides		Veronica thymoides subsp. pseudocinerea M.A.Fischer	TR	1999-08-01 00:00:00.0	ICBN	1071	M.A.Fischer	Nigde	Scrophulariales	Asia	B
6540	1675a7a1-c660-489f-b469-a7ae4491415c	http://localhost:8080/data/1/1675a7a1-c660-489f-b469-a7ae4491415c/detail.html	Thu Sep 25 01:07:03 CEST 2008	Plantaginaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Plantago		PreservedSpecimen	Magnoliophyta	2650	holosteum		Plantago holosteum Scop.	TR	1999-08-01 00:00:00.0	ICBN	1072	Scop.	Nigde	Plantaginales	Asia	B
6541	ec227b2d-4250-4bf8-8f7a-5e2a60009a48	http://localhost:8080/data/1/ec227b2d-4250-4bf8-8f7a-5e2a60009a48/detail.html	Thu Sep 25 01:07:03 CEST 2008	Plantaginaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Plantago		PreservedSpecimen	Magnoliophyta	2650	lanceolata		Plantago lanceolata L.	TR	1999-08-01 00:00:00.0	ICBN	1073	L.	Nigde	Plantaginales	Asia	B
6542	0276df65-2e02-49ea-847a-e694ca760c16	http://localhost:8080/data/1/0276df65-2e02-49ea-847a-e694ca760c16/detail.html	Thu Sep 25 01:07:03 CEST 2008	Asteraceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Logfia		PreservedSpecimen	Magnoliophyta	2650	arvensis		Logfia arvensis (L.) Holub	TR	1999-08-01 00:00:00.0	ICBN	1074	(L.) Holub	Nigde	Asterales	Asia	B
6543	25630432-5275-4292-a8b4-c1087a272df1	http://localhost:8080/data/1/25630432-5275-4292-a8b4-c1087a272df1/detail.html	Thu Sep 25 01:07:03 CEST 2008	Rubiaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Asperula		PreservedSpecimen	Magnoliophyta	2650	setosa		Asperula setosa Jaub. & Spach	TR	1999-08-01 00:00:00.0	ICBN	1075	Jaub. & Spach	Nigde	Rubiales	Asia	B
6544	72598e4a-f3e2-4187-b701-153454582b4e	http://localhost:8080/data/1/72598e4a-f3e2-4187-b701-153454582b4e/detail.html	Thu Sep 25 01:07:03 CEST 2008	Caryophyllaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Scleranthus		PreservedSpecimen	Magnoliophyta	2650	uncinatus		Scleranthus uncinatus Schur	TR	1999-08-01 00:00:00.0	ICBN	1076	Schur	Nigde	Caryophyllales	Asia	B
6545	f4858493-1990-4aab-a35c-579bb78d90b5	http://localhost:8080/data/1/f4858493-1990-4aab-a35c-579bb78d90b5/detail.html	Thu Sep 25 01:07:03 CEST 2008	Asteraceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Scorzonera	Variety	PreservedSpecimen	Magnoliophyta	2650	cana		Scorzonera cana var. radicosa (Boiss.) D.F.Chamb.	TR	1999-08-01 00:00:00.0	ICBN	1077	(Boiss.) D.F.Chamb.	Nigde	Asterales	Asia	B
